Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/30/19,Chicago State,W,3,46,9,86,0.43,44,5,9,1,41,2,18,1,11,1,62
8/31/19,Oklahoma,W,3,38,15,92,0.25,36,6,4,1,35,7,8,0,11,0,55
8/31/19,California,L,4,49,30,163,0.117,46,0,9,3,46,3,15,3,10.5,0,59.5
9/6/19,vs FAU,W,3,39,7,69,0.464,34,4,5,1,33,0,14,2,7,0,50
9/6/19,at TCU,W,3,30,12,85,0.212,30,7,17,7,38,1,14,1,8,0,45
9/7/19,at Florida State,W,3,48,16,108,0.296,46,7,15,3,46,1,16,3,9,1,64
9/12/19,Colorado,W,3,40,11,85,0.341,38,4,10,2,39,2,10,0,7,0,51
9/13/19,at Colorado,W,5,58,32,142,0.183,52,6,15,4,49,3,20,2,13,0,77
9/18/19,Cal Poly,W,3,37,10,86,0.314,35,7,6,3,44,4,25,0,16.5,1,60.5
9/18/19,Northern Colorado,W,3,41,15,97,0.268,37,4,8,3,51,3,16,1,11,0,56
9/20/19,Oregon St.,W,4,54,19,128,0.273,50,4,11,6,43,3,20,2,13,1,71
9/26/19,New Mexico,W,3,39,12,84,0.321,38,7,8,2,46,4,22,0,15,0,61
9/28/19,at UNLV,W,4,52,13,115,0.339,50,5,10,5,54,2,14,3,9,1,66
10/1/19,at Wyoming,W,5,74,27,169,0.278,67,5,10,3,63,4,12,7,10,0,89
10/5/19,at Air Force,W,4,53,20,126,0.262,49,12,8,5,51,1,22,1,12,0,77
10/10/19,Fresno State,W,3,43,11,92,0.348,39,6,7,4,42,0,12,0,6,2,55
10/12/19,San Diego State,W,3,46,7,96,0.406,43,5,9,4,37,2,2,0,3,0,54
10/17/19,at Boise St.,W,5,68,36,174,0.184,65,5,14,5,73,3,27,2,16.5,0,89.5
10/19/19,at Utah State,W,3,36,9,68,0.397,35,12,4,3,28,4,22,0,15,0,63
10/24/19,San Jose State,W,3,49,16,106,0.311,42,3,4,4,48,5,8,0,9,1,61
10/26/19,Nevada,W,3,42,7,92,0.38,42,8,11,3,47,3,12,1,9,1,59
10/29/19,Wyoming,W,4,59,25,141,0.241,58,11,10,3,64,2,12,4,8,0,78
10/31/19,Air Force,W,3,45,12,111,0.297,42,5,3,3,43,1,14,1,8,0,58
11/7/19,at Fresno State,W,3,35,13,80,0.275,33,9,12,4,41,1,12,0,7,0,51
11/9/19,at San Diego State,W,3,52,18,113,0.301,50,5,12,2,48,0,14,0,7,0,64
11/14/19,Utah State,W,3,50,18,103,0.311,48,2,12,2,38,2,8,1,6,0,58
11/16/19,Boise St.,W,3,37,15,88,0.25,37,2,9,6,33,2,28,0,16,2,55
11/21/19,at San Jose State,W,5,60,20,163,0.245,56,7,11,6,61,4,10,2,9,1,76
11/23/19,at Nevada,W,3,42,14,97,0.289,42,6,9,2,45,2,26,2,15,0,63
11/30/19,at Denver,W,5,73,25,165,0.291,67,4,11,8,70,1,24,4,13,1,90
12/6/19,vs South Carolina,L,5,73,20,167,0.317,69,9,17,4,69,3,20,1,13,2,95
2/5/21,Air Force,W,4,54,17,128,0.289,48,11,3,9,49,3,14,2,10,2,75
2/6/21,Air Force,L,3,35,14,95,0.221,32,8,3,10,45,0,10,2,5,1,48
2/12/21,at Nevada,W,4,56,19,121,0.306,52,6,11,5,43,4,10,1,9,1,71
2/13/21,at Nevada,W,4,51,26,149,0.168,49,9,11,3,60,3,14,3,10,0,70
