"","x"
"1872","2019"
"1873","2019"
"1874","2018"
"1875","2018"
"1876","2018"
"1877","2017"
"1878","2017"
"1879","2016"
"1880","2016"
"1881","2015"
"1882","2015"
"1883","2014"
"1884","2014"
"1885","2013"
"1886","2012"
"1887","2012"
"1888","2011"
"1889","2010"
"1890","2009"
"1891","2009"
"1892","2008"
"1893","2007"
"1894","2007"
"1895","2006"
"1896","2006"
"1897","2005"
"1898","2003"
"1899","2002"
"1900","2000"
"1901","1997"
"1902","1996"
"1903","1995"
"1904","1994"
"1905","1993"
"1906","1992"
"1907","1991"
"1908","1990"
"1909","1989"
"1910","1988"
"1911","1987"
"1912","1986"
"1913","1985"
"1914","1983"
"1915","1983"
"1916","1981"
"1917","1979"
"1918","1979"
"1919","1980"
"1920","1978"
"1921","1977"
"1922","1975"
"1923","1974"
"1924","1972"
"1925","1970"
"1926","1969"
"1927","1969"
"1928","1969"
"1929","1967"
"1930","1966"
"1931","1967"
"1932","2010"
"1933","2001"
"1934","2012"
"1935","1989"
"1936","2002"
"1937","1992"
"1938","1991"
"1939","1997"
"1940","1996"
"1941","1996"
"1942","1996"
"1943","1995"
"1944","1995"
"1945","1993"
"1946","1971"
"1947","1972"
"1948","1969"
"1949","2001"
"1950","2017"
"1951","2003"
"1952","1966"
"1953","1973"
"1954","2014"
"1955","1997"
"1956","2010"
"1957","2000"
"1958","2014"
"1959","2021"
"1960","1999"
"1961","2022"
"1962","2000"
"1963","2019"
"1964","1975"
"1965","2022"
"1966","1965"
"1967","2021"
"1968","1992"
"1969","2009"
"1970","2021"
"1971","2018"
"1972","1998"
