"Genre","Parent","MyCount","PopCount"
"Boom Bap","Hardcore Hip Hop",3,6586
"Britcore","Hardcore Hip Hop",0,78
"Gangsta Rap","Hardcore Hip Hop",2,8852
"Horrorcore","Hardcore Hip Hop",0,1710
"Memphis Rap","Hardcore Hip Hop",0,1819
"Trap Metal","Hardcore Hip Hop",0,1493
"Jerk Rap","Hyphy",0,192
"Lo-Fi Hip Hop","Instrumental Hip Hop",0,1948
"Phonk","Instrumental Hip Hop",0,284
"Chicano Rap","Latin Rap",0,129
"Atlanta Bass","Miami Bass",0,90
"Techno Bass","Miami Bass",0,143
"Bop","Pop Rap",0,381
"Drill","Trap",0,2767
"Phonk","Trap",0,284
"Trap Metal","Trap",0,1493
"Tread","Trap",0,551
"Dark Ambient","Post-Industrial",2,15596
"Deconstructed Club","Post-Industrial",0,3257
"EBM","Post-Industrial",0,6499
"Electro-Industrial","Post-Industrial",3,5101
"Industrial Hardcore","Post-Industrial",0,862
"Industrial Hip Hop","Post-Industrial",1,1886
"Industrial Metal","Post-Industrial",3,4856
"Industrial Rock","Post-Industrial",13,4419
"Industrial Techno","Post-Industrial",0,4261
"Martial Industrial","Post-Industrial",0,1038
"Power Noise","Post-Industrial",0,1563
"Al Jeel","Arabic Pop",0,31
"Chalga","Balkan Pop-Folk",0,1016
"Manele","Balkan Pop-Folk",0,161
"Modern Laika","Balkan Pop-Folk",0,102
"Musika popullore","Balkan Pop-Folk",0,58
"Muzică de mahala","Balkan Pop-Folk",0,56
"Skiladika","Balkan Pop-Folk",0,20
"Tallava","Balkan Pop-Folk",0,6
"Turbo-Folk","Balkan Pop-Folk",0,123
"Praise & Worship","CCM",0,762
"Cantopop","C-Pop",0,774
"Mandopop","C-Pop",0,4110
"Dangdut koplo","Dangdut",0,40
"Cocktail Nation","Easy Listening",0,193
"Exotica","Easy Listening",0,1012
"Light Music","Easy Listening",0,537
"Lounge","Easy Listening",0,2058
"Pops Orchestra","Easy Listening",0,347
"Space Age Pop","Easy Listening",0,820
"Bedroom Pop","Indie Pop",0,1872
"C86","Indie Pop",0,577
"Chamber Pop","Indie Pop",3,5697
"Sonido Donosti","Indie Pop",0,55
"Twee Pop","Indie Pop",1,3767
"Canzone neomelodica","Italo Pop",0,19
"Denpa","J-Pop",0,728
"Cumbia cheta","Latin Pop",0,15
"Tropipop","Latin Pop",0,152
"Motown Sound","Pop Soul",0,443
"Humppa","Schlager",0,129
"Levenslied","Schlager",0,1172
"Volkstümliche Musik","Schlager",0,1206
"Funknejo","Sertanejo universitário",0,41
"Picopop","Shibuya-kei",0,296
"British Dance Band","Traditional Pop",1,1897
"Romanţe","Traditional Pop",0,33
"Standards","Traditional Pop",1,2398
"Hypnagogic Pop","Neo-Psychedelia",0,2615
"Paisley Underground","Neo-Psychedelia",0,291
"Freak Folk","Psychedelic Folk",1,1102
"Free Folk","Psychedelic Folk",0,1741
"Alternative R&B","Contemporary R&B",1,9000
"New Jack Swing","Contemporary R&B",0,855
"Acid Jazz","Funk",0,1331
"Afrobeat","Funk",2,1068
"Afro-Funk","Funk",0,791
"Deep Funk","Funk",1,126
"Go-Go","Funk",0,151
"Jazz-Funk","Funk",2,3967
"Latin Funk","Funk",0,359
"P-Funk","Funk",0,416
"Porn Groove","Funk",0,102
"Synth Funk","Funk",3,3753
"British Rhythm & Blues","Rhythm & Blues",1,940
"Chicago Soul","Soul",2,411
"Country Soul","Soul",0,459
"Deep Soul","Soul",1,546
"Latin Soul","Soul",0,212
"Neo-Soul","Soul",1,3664
"Northern Soul","Soul",0,1237
"Philly Soul","Soul",0,991
"Pop Soul","Soul",2,8188
"Psychedelic Soul","Soul",3,1208
"Samba Soul","Soul",0,231
"Smooth Soul","Soul",1,2618
"Southern Soul","Soul",1,1929
"African Folk Music","African Music",0,1555
"Afro-Jazz","African Music",1,604
"Cape Verdean Music","African Music",0,319
"Central African Music","African Music",1,2387
"East African Music","African Music",0,720
"Malagasy Music","African Music",0,145
"North African Music","African Music",1,1755
"Northeastern African Music","African Music",2,741
"Southern African Music","African Music",3,1645
"West African Music","African Music",5,5843
"Ancient Chinese Music","Ancient Music",0,31
"Ancient Egyptian Music","Ancient Music",0,44
"Ancient Greek Music","Ancient Music",0,56
"Ancient Levitical Music","Ancient Music",0,5
"Ancient Roman Music","Ancient Music",0,19
"Hyang-ak","Ancient Music",0,2
"Mesopotamian Music","Ancient Music",0,5
"Algerian Chaabi","Arabic Music",0,92
"Arabic Classical Music","Arabic Music",1,454
"Arabic Folk Music","Arabic Music",0,803
"Arabic Jazz","Arabic Music",1,205
"Arabic Pop","Arabic Music",0,791
"Dabke","Arabic Music",0,91
"Raï","Arabic Music",0,433
"Shaʻabi","Arabic Music",0,117
"Traditional Arabic Pop","Arabic Music",0,417
"Balkan Folk Music","Balkan Music",0,2971
"Balkan Pop-Folk","Balkan Music",0,1662
"Entechna","Balkan Music",0,297
"Laika","Balkan Music",0,354
"Romanţe","Balkan Music",0,33
"Afoxé","Brazilian Music",0,109
"Axé","Brazilian Music",0,492
"Baião","Brazilian Music",0,262
"Bossa nova","Brazilian Music",1,2638
"Brazilian Classical Music","Brazilian Music",1,499
"Brega","Brazilian Music",0,574
"Candomblé Music","Brazilian Music",0,90
"Capoeira Music","Brazilian Music",0,49
"Carimbó","Brazilian Music",0,63
"Choro","Brazilian Music",0,546
"Coco","Brazilian Music",0,109
"Forró","Brazilian Music",0,514
"Frevo","Brazilian Music",0,88
"Funk carioca","Brazilian Music",0,1934
"Jongo","Brazilian Music",0,31
"Lambada","Brazilian Music",0,83
"Mangue Beat","Brazilian Music",0,97
"Maracatu","Brazilian Music",0,62
"Maxixe","Brazilian Music",0,31
"MPB","Brazilian Music",1,4040
"Música gaúcha","Brazilian Music",0,260
"Repente","Brazilian Music",0,34
"Samba","Brazilian Music",0,3038
"Sertanejo","Brazilian Music",0,1094
"Vanguarda paulista","Brazilian Music",0,213
"Xote","Brazilian Music",0,79
"Calypso","Caribbean Music",1,872
"Caribbean Folk Music","Caribbean Music",1,263
"French Caribbean Music","Caribbean Music",1,1590
"Goombay","Caribbean Music",0,60
"Jamaican Music","Caribbean Music",5,24378
"Kaseko","Caribbean Music",0,41
"Parang","Caribbean Music",0,58
"Punta","Caribbean Music",0,21
"Soca","Caribbean Music",0,1183
"Caucasian Folk Music","Caucasian Music",0,205
"Rabiz","Caucasian Music",0,58
"Chanson alternative","Chanson",0,337
"Chanson à texte","Chanson",0,724
"Chanson réaliste","Chanson",0,152
"Nouvelle chanson française","Chanson",0,1093
"Armenian Church Music","Christian Liturgical Music",0,66
"Byzantine Chant","Christian Liturgical Music",1,86
"Coptic Music","Christian Liturgical Music",0,17
"Ethiopian Church Music","Christian Liturgical Music",0,55
"Gaelic Psalm","Christian Liturgical Music",0,12
"Plainsong","Christian Liturgical Music",0,386
"Russian Orthodox Liturgical Music","Christian Liturgical Music",0,129
"Syriac Chant","Christian Liturgical Music",0,19
"Ancient Chinese Music","East Asian Music",0,31
"Cải lương","East Asian Music",0,20
"Campus Folk","East Asian Music",0,19
"East Asian Classical Music","East Asian Music",2,1081
"East Asian Folk Music","East Asian Music",2,1574
"Guoyue","East Asian Music",1,68
"Japanese Music","East Asian Music",2,2814
"Nhạc vàng","East Asian Music",0,110
"Shidaiqu","East Asian Music",0,264
"Trot","East Asian Music",0,101
"Vietnamese Bolero","East Asian Music",0,30
"Ancient Greek Music","Greek Music",0,56
"Byzantine Music","Greek Music",1,158
"Entechna","Greek Music",0,297
"Greek Folk Music","Greek Music",0,843
"Laika","Greek Music",0,354
"Canción melódica","Hispanic Music",0,2856
"Latin American Music","Hispanic Music",5,26855
"Murga","Hispanic Music",0,59
"Spanish Music","Hispanic Music",2,7993
"Tonada","Hispanic Music",0,92
"Arabic Classical Music","Islamic Modal Music",1,454
"Iranian Folk Music","Islamic Modal Music",0,183
"Persian Classical Music","Islamic Modal Music",2,594
"Sufiana kalam","Islamic Modal Music",0,7
"Tajik Traditional Music","Islamic Modal Music",1,70
"Turkish Classical Music","Islamic Modal Music",1,291
"Turkish Mevlevi Music","Islamic Modal Music",0,72
"Turkmen Traditional Music","Islamic Modal Music",0,28
"Uzbek Traditional Music","Islamic Modal Music",1,122
"Maddahi","Islamic Religious Music & Recitation",0,8
"Nasheed","Islamic Religious Music & Recitation",0,29
"Rapai dabõih","Islamic Religious Music & Recitation",0,3
"Turkish Mevlevi Music","Islamic Religious Music & Recitation",0,72
"Ashkenazi Music","Jewish Music",0,904
"Jewish Liturgical Music","Jewish Music",0,107
"Muzika mizrahit","Jewish Music",0,246
"Oriental Jewish Music","Jewish Music",0,27
"Sephardic Music","Jewish Music",0,169
"Fijian Music","Melanesian Music",0,17
"Lokal musik","Melanesian Music",0,16
"Papuan Folk Music","Melanesian Music",0,51
"Fijian Music","Polynesian Music",0,17
"Hawaiian Music","Polynesian Music",0,838
"Himene tarava","Polynesian Music",0,14
"Māori Traditional Music","Polynesian Music",0,77
"Samoan Music","Polynesian Music",0,5
"Ars nova","Polyphonic Chant",0,133
"Ars subtilior","Polyphonic Chant",0,58
"Cante alentejano","Polyphonic Chant",0,10
"Cantu a tenore","Polyphonic Chant",0,31
"Himene tarava","Polyphonic Chant",0,14
"Lab Polyphony","Polyphonic Chant",0,86
"Madrigal","Polyphonic Chant",1,244
"Sutartinės","Polyphonic Chant",0,18
"Tosk Polyphony","Polyphonic Chant",0,13
"Trallalero","Polyphonic Chant",0,7
"Música de intervenção","Portuguese Music",0,142
"Pimba","Portuguese Music",0,304
"Portuguese Folk Music","Portuguese Music",0,1447
"Muzică de mahala","Romanian Music",0,56
"Romanian Etno Music","Romanian Music",0,9
"Romanian Folk Music","Romanian Music",0,414
"Romanţe","Romanian Music",0,33
"Bard Music","Russian Music",0,571
"Russian Chanson","Russian Music",0,488
"Russian Folk Music","Russian Music",0,518
"Russian Orthodox Liturgical Music","Russian Music",0,129
"Russian Romance","Russian Music",0,205
"Maloya","Seychelles & Mascarene Islands Music",0,70
"Moutya","Seychelles & Mascarene Islands Music",0,4
"Santé engagé","Seychelles & Mascarene Islands Music",0,10
"Séga","Seychelles & Mascarene Islands Music",0,127
"Baila","South Asian Music",0,19
"Balochi Traditional Music","South Asian Music",0,23
"Bhangra","South Asian Music",0,282
"Filmi","South Asian Music",0,2220
"Garba","South Asian Music",0,4
"Indian Pop","South Asian Music",0,374
"Pop Ghazal","South Asian Music",0,24
"Rigsar","South Asian Music",0,2
"South Asian Classical Music","South Asian Music",3,2459
"South Asian Folk Music","South Asian Music",0,581
"Batak Pop","Southeast Asian Music",0,16
"Cambodian Pop","Southeast Asian Music",0,110
"Dangdut","Southeast Asian Music",0,137
"Hmong Pop","Southeast Asian Music",0,8
"Jaipongan","Southeast Asian Music",0,371
"Kecak","Southeast Asian Music",1,13
"Luk Krung","Southeast Asian Music",0,157
"Luk Thung","Southeast Asian Music",0,649
"Mono","Southeast Asian Music",0,80
"Philippine Music","Southeast Asian Music",0,127
"Phleng phuea chiwit","Southeast Asian Music",0,35
"Pop Sunda","Southeast Asian Music",0,43
"Qasidah Modern","Southeast Asian Music",0,9
"Shadow Music","Southeast Asian Music",0,42
"Southeast Asian Classical Music","Southeast Asian Music",2,1037
"Southeast Asian Folk Music","Southeast Asian Music",0,665
"Stereo","Southeast Asian Music",0,124
"Zhabdro Gorgom","Tibetan Traditional Music",0,3
"Altai Traditional Music","Turkic-Mongolic Traditional Music",0,28
"Bashkir Folk Music","Turkic-Mongolic Traditional Music",0,17
"Buryat Folk Music","Turkic-Mongolic Traditional Music",0,11
"Kalmyk Traditional Music","Turkic-Mongolic Traditional Music",0,13
"Karakalpak Traditional Music","Turkic-Mongolic Traditional Music",0,11
"Kazakh Traditional Music","Turkic-Mongolic Traditional Music",0,51
"Khakas Traditional Music","Turkic-Mongolic Traditional Music",0,16
"Kyrgyz Traditional Music","Turkic-Mongolic Traditional Music",0,26
"Mongolian Traditional Music","Turkic-Mongolic Traditional Music",0,200
"Sakha Traditional Music","Turkic-Mongolic Traditional Music",0,40
"Tuvan Throat Singing","Turkic-Mongolic Traditional Music",0,159
"Uyghur Music","Turkic-Mongolic Traditional Music",0,34
"Armenian Music","West Asian Music",0,723
"Azerbaijani Music","West Asian Music",0,238
"Balochi Traditional Music","West Asian Music",0,23
"Dabke","West Asian Music",0,91
"Iranian Music","West Asian Music",2,1119
"Iraqi Maqam","West Asian Music",0,30
"Maftirim","West Asian Music",0,11
"Mesopotamian Music","West Asian Music",0,5
"Muzika mizrahit","West Asian Music",0,246
"Turkish Music","West Asian Music",1,3851
"West Asian Folk Music","West Asian Music",0,1696
"Nueva canción española","Nueva canción",0,329
"Nueva canción latinoamericana","Nueva canción",1,1201
"Ska Punk","Third Wave Ska",2,1754
"Beat Poetry","Poetry",0,156
"Dub Poetry","Poetry",0,91
"Jazz Poetry","Poetry",1,187
"Nursery Rhymes","Poetry",0,175
"Slam Poetry","Poetry",0,34
"Sound Poetry","Poetry",0,395
"Dunedin Sound","Indie Rock",0,314
"Hamburger Schule","Indie Rock",0,252
"Lo-Fi / Slacker Rock","Indie Rock",5,9992
"Midwest Emo","Indie Rock",7,3815
"Post-Punk Revival","Indie Rock",5,2635
"Slowcore","Indie Rock",1,3152
"C86","Jangle Pop",0,577
"Emoviolence","Screamo",1,846
"Rock in Opposition","Avant-Prog",0,624
"Zeuhl","Avant-Prog",0,421
"Beatdown Hardcore","Hardcore Punk",0,1571
"Crossover Thrash","Hardcore Punk",0,2671
"Crust Punk","Hardcore Punk",1,5307
"D-Beat","Hardcore Punk",0,1284
"Grindcore","Hardcore Punk",1,13222
"Japanese Hardcore","Hardcore Punk",1,1104
"Melodic Hardcore","Hardcore Punk",2,3002
"New York Hardcore","Hardcore Punk",1,1325
"Noisecore","Hardcore Punk",0,2790
"Powerviolence","Hardcore Punk",2,3329
"Thrashcore","Hardcore Punk",0,1343
"UK82","Hardcore Punk",1,494
"Deathcore","Metalcore",0,4667
"Mathcore","Metalcore",1,2363
"Melodic Metalcore","Metalcore",0,3926
"Emocore","Post-Hardcore",0,1103
"Screamo","Post-Hardcore",1,7617
"Funk Metal","Alternative Metal",1,776
"Nu Metal","Alternative Metal",1,4393
"Rap Metal","Alternative Metal",1,1208
"Atmospheric Black Metal","Black Metal",7,8958
"Black 'n' Roll","Black Metal",0,287
"Depressive Black Metal","Black Metal",0,3558
"Melodic Black Metal","Black Metal",0,4306
"Pagan Black Metal","Black Metal",1,1801
"Symphonic Black Metal","Black Metal",0,2463
"War Metal","Black Metal",0,1220
"Brutal Death Metal","Death Metal",0,6399
"Death 'n' Roll","Death Metal",0,511
"Deathgrind","Death Metal",0,2720
"Melodic Death Metal","Death Metal",0,9268
"Technical Death Metal","Death Metal",3,3640
"Death Doom Metal","Doom Metal",0,4172
"Funeral Doom Metal","Doom Metal",0,1659
"Traditional Doom Metal","Doom Metal",0,1698
"Celtic Metal","Folk Metal",0,411
"Medieval Folk Metal","Folk Metal",0,247
"Cybergrind","Grindcore",0,1108
"Deathgrind","Grindcore",0,2720
"Goregrind","Grindcore",0,3673
"NWOBHM","Heavy Metal",4,2028
"US Power Metal","Heavy Metal",0,1374
"Cyber Metal","Industrial Metal",0,458
"Neue Deutsche Härte","Industrial Metal",0,512
"Atmospheric Sludge Metal","Post-Metal",1,3601
"Djent","Progressive Metal",0,2230
"Atmospheric Sludge Metal","Sludge Metal",1,3601
"Crossover Thrash","Thrash Metal",0,2671
"Technical Thrash Metal","Thrash Metal",0,913
"Freakbeat","Beat Music",1,618
"Group Sounds","Beat Music",0,530
"Jovem Guarda","Beat Music",0,283
"Merseybeat","Beat Music",5,709
"Nederbeat","Beat Music",0,393
"Deathrock","Gothic Rock",1,1358
"Celtic Punk","Folk Punk",0,473
"Gypsy Punk","Folk Punk",0,241
"Viking Rock","Oi!",0,75
"Easycore","Pop Punk",0,434
"Psychobilly","Rockabilly",1,1320
"Eleki","Surf Rock",0,102
"Rautalanka","Surf Rock",0,206
"Shadow Music","Surf Rock",0,42
"European Free Jazz","Free Jazz",0,1088
"Acoustic Texas Blues","Country Blues",1,326
"Delta Blues","Country Blues",0,864
"Piedmont Blues","Country Blues",1,522
"Baisha Xiyue","Chinese Classical Music",0,11
"Chinese Opera","Chinese Classical Music",0,179
"Dongjing","Chinese Classical Music",0,5
"Yayue","Chinese Classical Music",0,48
"Gagaku","Japanese Classical Music",0,102
"Heikyoku","Japanese Classical Music",0,13
"Honkyoku","Japanese Classical Music",0,48
"Jiuta","Japanese Classical Music",0,27
"Jōruri","Japanese Classical Music",0,5
"Nagauta","Japanese Classical Music",0,130
"Noh","Japanese Classical Music",0,11
"Shōmyō","Japanese Classical Music",0,25
"Sōkyoku","Japanese Classical Music",1,108
"Aak","Korean Classical Music",0,4
"Dang-ak","Korean Classical Music",0,0
"Hyang-ak","Korean Classical Music",0,2
"Jeong-ak","Korean Classical Music",0,9
"Vietnamese Opera","Vietnamese Classical Music",0,1
"Dhrupad","Hindustani Classical Music",0,141
"Khyal","Hindustani Classical Music",0,237
"Qawwali","Hindustani Classical Music",1,257
"Thumri","Hindustani Classical Music",0,67
"Gamelan angklung","Gamelan",0,25
"Gamelan beleganjur","Gamelan",0,11
"Gamelan degung","Gamelan",0,66
"Gamelan gender wayang","Gamelan",0,16
"Gamelan gong gede","Gamelan",0,11
"Gamelan gong kebyar","Gamelan",1,70
"Gamelan Jawa","Gamelan",1,229
"Gamelan jegog","Gamelan",0,15
"Gamelan selonding","Gamelan",0,4
"Gamelan semar pegulingan","Gamelan",0,22
"Khrueang sai","Thai Classical Music",0,3
"Piphat","Thai Classical Music",0,47
"Tragédie en musique","Baroque Music",0,62
"Byzantine Chant","Byzantine Music",1,86
"Spaghetti Western","Cinematic Classical",1,423
"Circus March","Classical March",0,63
"Ars antiqua","Medieval Classical Music",0,63
"Ars nova","Medieval Classical Music",0,133
"Ars subtilior","Medieval Classical Music",0,58
"Medieval Lyric Poetry","Medieval Classical Music",0,106
"Plainsong","Medieval Classical Music",0,386
"Expressionism","Modern Classical",1,161
"Futurism","Modern Classical",1,92
"Impressionism","Modern Classical",3,1298
"Indeterminacy","Modern Classical",1,733
"Microtonal Classical","Modern Classical",2,326
"Minimalism","Modern Classical",17,2798
"Musique concrète instrumentale","Modern Classical",1,37
"New Complexity","Modern Classical",1,57
"Post-Minimalism","Modern Classical",8,1306
"Serialism","Modern Classical",2,656
"Sonorism","Modern Classical",1,64
"Spectralism","Modern Classical",1,177
"Stochastic Music","Modern Classical",1,102
"Opera buffa","Opera",0,232
"Opera semiseria","Opera",0,15
"Opera seria","Opera",0,202
"Operetta","Opera",0,650
"Tragédie en musique","Opera",0,62
"Zarzuela","Opera",0,102
"Concerto","Orchestral",2,5617
"Symphony","Orchestral",2,6092
"Tone Poem","Orchestral",0,569
"Zarzuela","Spanish Classical Music",0,102
"Red Dirt","Outlaw Country",0,216
"Bluegrass Gospel","Bluegrass",0,240
"Bluegrass Gospel","Country Gospel",0,240
"Bubblegum Dance","Eurodance",0,565
"Italo Dance","Eurodance",0,243
"Latin Freestyle","Freestyle",0,72
"Hi-NRG","Electro-Disco",0,1394
"Italo-Disco","Electro-Disco",0,4347
"Space Disco","Electro-Disco",0,550
"Future Funk","Nu-Disco",0,1342
"Baltimore Club","Breakbeat",0,303
"Big Beat","Breakbeat",1,1043
"Breakbeat Hardcore","Breakbeat",0,3302
"Jersey Club","Breakbeat",0,486
"Nu Skool Breaks","Breakbeat",0,167
"Progressive Breaks","Breakbeat",0,228
"Atmospheric Drum and Bass","Drum and Bass",2,1759
"Dancefloor Drum and Bass","Drum and Bass",0,826
"Darkstep","Drum and Bass",0,696
"Drumfunk","Drum and Bass",0,192
"Drumstep","Drum and Bass",0,799
"Halftime","Drum and Bass",0,543
"Hardstep","Drum and Bass",0,123
"Jazzstep","Drum and Bass",0,300
"Jump-Up","Drum and Bass",0,865
"Jungle","Drum and Bass",0,4129
"Liquid Funk","Drum and Bass",0,1387
"Minimal Drum and Bass","Drum and Bass",0,507
"Neurofunk","Drum and Bass",0,974
"Techstep","Drum and Bass",0,592
"Trancestep","Drum and Bass",0,114
"Brostep","Dubstep",0,5358
"Chillstep","Dubstep",0,613
"Melodic Dubstep","Dubstep",0,758
"Purple Sound","Dubstep",0,391
"Aggrotech","EBM",0,1318
"Futurepop","EBM",0,1146
"New Beat","EBM",0,788
"Skweee","Electro",0,133
"Kawaii Future Bass","Future Bass",0,652
"Neurohop","Glitch Hop [EDM]",0,224
"Acidcore","Hardcore [EDM]",0,410
"Breakbeat Hardcore","Hardcore [EDM]",0,3302
"Breakcore","Hardcore [EDM]",1,3601
"Crossbreed","Hardcore [EDM]",0,93
"Digital Hardcore","Hardcore [EDM]",1,672
"Doomcore","Hardcore [EDM]",0,82
"Freeform Hardcore","Hardcore [EDM]",0,303
"Frenchcore","Hardcore [EDM]",0,222
"Gabber","Hardcore [EDM]",0,2041
"Happy Hardcore","Hardcore [EDM]",0,2912
"Industrial Hardcore","Hardcore [EDM]",0,862
"J-core","Hardcore [EDM]",0,848
"Speedcore","Hardcore [EDM]",0,1540
"Terrorcore","Hardcore [EDM]",0,252
"Dubstyle","Hardstyle",0,32
"Euphoric Hardstyle","Hardstyle",0,152
"Jumpstyle","Hardstyle",0,116
"Acid House","House",0,2046
"Afro-House","House",0,350
"Amapiano","House",0,114
"Ambient House","House",0,1288
"Balearic Beat","House",0,705
"Ballroom","House",0,479
"Baltimore Club","House",0,303
"Bass House","House",0,1018
"Big Room","House",0,1115
"Bubbling House","House",0,18
"Chicago Hard House","House",0,43
"Chicago House","House",0,892
"Deep House","House",0,13035
"Dutch House","House",0,350
"Electro House","House",1,7904
"Euro House","House",0,1083
"French House","House",3,1205
"Funky House","House",0,1094
"Future House","House",0,1479
"Garage House","House",0,1636
"Ghetto House","House",0,1686
"Gqom","House",0,189
"Hip House","House",0,1966
"Italo House","House",0,432
"Jersey Club","House",0,486
"Kwaito","House",0,223
"Latin House","House",0,217
"Microhouse","House",0,1462
"Nu-Disco","House",0,5493
"Philly Club","House",0,49
"Progressive House","House",0,4684
"Tech House","House",0,8139
"Tribal House","House",0,725
"Tropical House","House",0,963
"UK Hard House","House",0,852
"Batida","Kuduro",0,117
"Moombahcore","Moombahton",0,237
"Acid Techno","Techno",1,3356
"Ambient Techno","Techno",3,4516
"Bleep Techno","Techno",0,146
"Detroit Techno","Techno",0,1304
"Freetekno","Techno",0,460
"Hardgroove","Techno",0,31
"Industrial Techno","Techno",0,4261
"Minimal Techno","Techno",2,8317
"Schranz","Techno",0,169
"Wonky Techno","Techno",0,338
"Brega-funk","Tecnobrega",0,175
"Acid Trance","Trance",0,481
"Ambient Trance","Trance",0,476
"Dream Trance","Trance",0,189
"Euro-Trance","Trance",0,727
"Goa Trance","Trance",1,750
"Hard Trance","Trance",0,1300
"Ibiza Trance","Trance",0,146
"NRG","Trance",0,77
"Progressive Trance","Trance",0,1528
"Psytrance","Trance",1,2458
"Tech Trance","Trance",0,555
"Uplifting Trance","Trance",0,1581
"Vocal Trance","Trance",0,1058
"Twerk","Trap [EDM]",0,115
"2-Step","UK Garage",0,590
"Bassline","UK Garage",0,694
"Breakstep","UK Garage",0,170
"Future Garage","UK Garage",1,1863
"Speed Garage","UK Garage",0,349
"UK Funky","UK Garage",0,1137
"16-bit","Sequencer & Tracker",0,383
"Aggrotech","Dark Electro",0,1318
"Broken Transmission","Vaporwave",0,422
"Mallsoft","Vaporwave",0,166
"Death Industrial","Power Electronics",2,1268
"Harsh Noise Wall","Harsh Noise",0,4962
"Birdsong","Animal Sounds",0,232
"Whale Song","Animal Sounds",0,43
"Dark Folk","Neofolk",0,1743
"Ambasse bey","African Folk Music",0,17
"Apala","African Folk Music",0,116
"Batuque","African Folk Music",0,28
"Dagomba Music","African Folk Music",0,15
"Gnawa","African Folk Music",0,188
"Kabye Folk Music","African Folk Music",0,4
"Kilapanga","African Folk Music",0,6
"Mbenga-Mbuti Music","African Folk Music",0,53
"Moutya","African Folk Music",0,4
"Ngoma","African Folk Music",0,16
"Semba","African Folk Music",0,125
"Southern African Folk Music","African Folk Music",0,224
"Tchinkoumé","African Folk Music",0,11
"Traditional Maloya","African Folk Music",0,14
"Traditional Séga","African Folk Music",0,21
"Zinli","African Folk Music",0,11
"Appalachian Folk Music","American Folk Music",0,729
"Barbershop","American Folk Music",0,106
"Boogie Woogie","American Folk Music",2,469
"Cajun Music","American Folk Music",0,727
"Country Blues","American Folk Music",2,3110
"Gospel","American Folk Music",2,5651
"Jug Band","American Folk Music",0,208
"Ragtime","American Folk Music",4,1594
"Sacred Harp Music","American Folk Music",0,58
"Spirituals","American Folk Music",0,418
"Talking Blues","American Folk Music",0,68
"Traditional Country","American Folk Music",7,8238
"Aita","Arabic Folk Music",0,41
"Arabic Bellydance Music","Arabic Folk Music",0,268
"Gondang","Austronesian Traditional Music",0,18
"Indigenous Taiwanese Music","Austronesian Traditional Music",0,23
"Pakacaping Music","Austronesian Traditional Music",0,9
"Canadian Maritime Folk","Canadian Folk Music",0,198
"French-Canadian Folk Music","Canadian Folk Music",0,335
"Newfoundland Folk Music","Canadian Folk Music",0,123
"Fungi","Caribbean Folk Music",0,9
"Garifuna Folk Music","Caribbean Folk Music",0,34
"Junkanoo","Caribbean Folk Music",0,22
"Méringue","Caribbean Folk Music",0,20
"Ripsaw","Caribbean Folk Music",0,7
"Trinidadian Cariso","Caribbean Folk Music",0,4
"Tumba","Caribbean Folk Music",0,15
"Virgin Islander Cariso","Caribbean Folk Music",0,4
"Abkhazian Folk Music","Caucasian Folk Music",0,16
"Avar Folk Music","Caucasian Folk Music",0,5
"Chechen Folk Music","Caucasian Folk Music",0,18
"Circassian Folk Music","Caucasian Folk Music",0,27
"Georgian Folk Music","Caucasian Folk Music",0,114
"Ossetian Folk Music","Caucasian Folk Music",0,10
"Ainu Folk Music","East Asian Folk Music",0,38
"Chinese Folk Music","East Asian Folk Music",1,486
"Indigenous Taiwanese Music","East Asian Folk Music",0,23
"Japanese Folk Music","East Asian Folk Music",1,706
"Korean Folk Music","East Asian Folk Music",0,173
"Vietnamese Folk Music","East Asian Folk Music",0,134
"Alpine Folk Music","European Folk Music",0,534
"Balkan Folk Music","European Folk Music",0,2971
"Basque Folk Music","European Folk Music",0,142
"Catalan Folk Music","European Folk Music",0,224
"Celtic Folk Music","European Folk Music",2,7748
"Dutch Folk Music","European Folk Music",0,152
"English Folk Music","European Folk Music",0,1853
"Estonian Folk Music","European Folk Music",0,132
"Fanfare","European Folk Music",2,719
"Flemish Folk Music","European Folk Music",0,182
"French Folk Music","European Folk Music",0,2467
"German Folk Music","European Folk Music",0,255
"Għana","European Folk Music",0,6
"Hungarian Folk Music","European Folk Music",0,405
"Italian Folk Music","European Folk Music",0,921
"Latvian Folk Music","European Folk Music",0,141
"Lithuanian Folk Music","European Folk Music",0,168
"Mari Folk Music","European Folk Music",0,7
"Neo-Medieval Folk","European Folk Music",0,868
"Nordic Folk Music","European Folk Music",1,3126
"Polka","European Folk Music",0,650
"Portuguese Folk Music","European Folk Music",0,1447
"Romanian Folk Music","European Folk Music",0,414
"Slavic Folk Music","European Folk Music",0,2435
"Spanish Folk Music","European Folk Music",1,5499
"Walloon Folk Music","European Folk Music",0,19
"Warsaw City Folk","European Folk Music",0,67
"Yiddish Folksong","European Folk Music",0,63
"Hmong Folk Music","Hill Tribe Music",0,15
"Djanba","Indigenous Australian Music",0,1
"Bambuco","Latin American Folk Music",0,18
"Canto a lo poeta","Latin American Folk Music",0,22
"Chamarrita rioplatense","Latin American Folk Music",0,8
"Cueca","Latin American Folk Music",0,158
"Gaita zuliana","Latin American Folk Music",0,16
"Huayno","Latin American Folk Music",0,253
"Joropo","Latin American Folk Music",0,56
